,name,owner,url,stargazers,createdAt,updatedAt,pullRequestMerged,pullRequestClosed
77,spring-boot,spring-projects,https://github.com/spring-projects/spring-boot,60642,2012-10-19T15:02:57Z,2022-04-17T14:44:29Z,41,5117
78,json-server,typicode,https://github.com/typicode/json-server,60655,2013-11-27T13:21:13Z,2022-04-17T11:47:48Z,100,134
79,angular.js,angular,https://github.com/angular/angular.js,59486,2010-01-06T00:34:37Z,2022-04-17T10:52:02Z,789,7133
80,reveal.js,hakimel,https://github.com/hakimel/reveal.js,59397,2011-06-07T18:54:22Z,2022-04-17T15:31:38Z,363,512
81,swift,apple,https://github.com/apple/swift,59260,2015-10-23T21:15:07Z,2022-04-17T12:51:10Z,36957,4775
82,elasticsearch,elastic,https://github.com/elastic/elasticsearch,59202,2010-02-08T13:20:56Z,2022-04-17T14:47:31Z,48174,7388
83,Front-End-Checklist,thedaviddias,https://github.com/thedaviddias/Front-End-Checklist,58997,2017-10-16T10:12:36Z,2022-04-17T15:11:44Z,169,112
84,netdata,netdata,https://github.com/netdata/netdata,58854,2013-06-17T18:39:10Z,2022-04-17T14:32:32Z,5187,619
85,flask,pallets,https://github.com/pallets/flask,58607,2010-04-06T11:11:59Z,2022-04-17T13:57:05Z,1323,820
86,hugo,gohugoio,https://github.com/gohugoio/hugo,58306,2013-07-04T15:26:26Z,2022-04-17T15:24:01Z,1679,2022
87,redux,reduxjs,https://github.com/reduxjs/redux,57855,2015-05-29T23:53:15Z,2022-04-17T15:21:52Z,1508,772
88,gin,gin-gonic,https://github.com/gin-gonic/gin,57632,2014-06-16T23:57:25Z,2022-04-17T15:27:23Z,813,390
89,svelte,sveltejs,https://github.com/sveltejs/svelte,57411,2016-11-20T18:13:05Z,2022-04-17T15:02:13Z,2339,547
90,atom,atom,https://github.com/atom/atom,57338,2012-01-20T18:18:21Z,2022-04-17T14:05:03Z,3924,1276
91,papers-we-love,papers-we-love,https://github.com/papers-we-love/papers-we-love,57385,2013-12-15T14:31:41Z,2022-04-17T15:30:27Z,398,77
92,nvm,nvm-sh,https://github.com/nvm-sh/nvm,56990,2010-04-15T17:47:47Z,2022-04-17T14:57:17Z,654,253
93,express,expressjs,https://github.com/expressjs/express,56669,2009-06-26T18:56:01Z,2022-04-17T15:28:57Z,252,794
94,Chart.js,chartjs,https://github.com/chartjs/Chart.js,56669,2013-03-17T23:56:36Z,2022-04-17T15:24:43Z,2615,764
95,jquery,jquery,https://github.com/jquery/jquery,56107,2009-04-03T15:20:14Z,2022-04-17T07:29:14Z,546,2188
96,tailwindcss,tailwindlabs,https://github.com/tailwindlabs/tailwindcss,55628,2017-10-06T14:59:14Z,2022-04-17T15:27:26Z,1356,356
97,socket.io,socketio,https://github.com/socketio/socket.io,55568,2010-03-11T18:24:48Z,2022-04-17T15:12:34Z,407,394
98,pytorch,pytorch,https://github.com/pytorch/pytorch,55353,2016-08-13T05:26:41Z,2022-04-17T15:22:57Z,5069,41951
99,frp,fatedier,https://github.com/fatedier/frp,55276,2015-12-21T15:24:59Z,2022-04-17T15:05:39Z,378,182
